Question,Answer,Category,FilePath
What is the name of the academic program offered through the partnership between Carnegie Mellon University and various Portuguese universities?,Dual-Degree Ph.D. in Language and Information Technologies (Portugal Partnership),Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Where can I find more information about the program online?,<https://lti.cs.cmu.edu/academics/phd-programs/dual-degree-phd-lti.html>,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Which Portuguese institutions partner with Carnegie Mellon University for this dual-degree program?,"Universidade de Aveiro, Universidade do Minho, Universidade do Porto, Universidade de Lisboa (Faculdade de Ciências and Instituto Superior Técnico), Universidade Nova de Lisboa, and Universidade de Coimbra",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
How long does the dual-degree program take to complete?,"Students typically spend one year in Portugal, two years in Pittsburgh, and another two years back in Portugal to pursue research and complete their dissertations.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
What kind of coursework is included in the dual-degree program?,"Students must complete up to eight courses covering topics such as linguistics, computer science, statistical learning, and task orientation.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Do students receive guidance throughout the program?,"Yes, students have advisors from both Carnegie Mello University and their respective Portuguese university who help supervise their progress and guide them towards defining their final thesis topic.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Once students finish the majority of their academic requirements, what happens next?",Students return to Portugal for two years to conduct extensive research and work toward their dissertation defense.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
What specific degrees can students earn at the partnering Portuguese universities?,"At Universidade de Aveiro, students can earn a Ph.D. in Computer Engineering. At Universidade do Minho, students can earn a Ph.D. in Informatics. At the Universidade do Porto, students can earn either a Ph.D. in Computer Science (FCUP) or a Ph.D. in Computer Science (FEUP). At the Universidade de Lisboa, students can earn a Ph.D. in Informatics (FCUL), a Ph.D. in Computer Science and Engineering, a Ph.D. in Electrical and Computer Engineering, or a Ph.D. in Information Security. At the Universidade Nova de Lisboa, students can earn a Ph.D. in Computer Science. Finally, at the Universidade de Coimbra, students can earn a Ph.D. in Information Science and Technology.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Is any prior knowledge or experience necessary to apply for the program?,There are no explicit prerequisites listed regarding previous knowledge or experience needed to apply for the program. Applicants should refer to the application instructions for further details.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Does the program offer financial assistance or funding opportunities?,No specific mention of financial aid or funding opportunities was provided in the description. Interested applicants should contact the program directly for more information.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Are there any language proficiency requirements for international students?,"Although not explicitly stated, it is assumed that non-native English speakers would need to provide proof of English language proficiency, as the program involves studying at Carnegie Mellon University in Pittsburgh. Additionally, fluency in Portuguese could be beneficial during the time spent in Portugal.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Can students choose which Portuguese university to attend?,"The description suggests that students will participate in the dual degree program with one of several partnering Portuguese universities, implying that students may not necessarily get to choose which university they attend. Further clarification may be sought from the program itself.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
Will students receive support finding housing in Portugal?,Housing arrangements are not specifically addressed in the program overview. Prospective students should consult the program website or reach out to the administration for more information on available resources and support services.,Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
What kind of background or qualifications are recommended for prospective students interested in applying to the Dual-Degree Ph.D. in Language and Information Technologies program offered through the collaboration between Carnegie Mellon University and various Portuguese universities?,"Prospective students with strong foundations in computer science, mathematics, statistics, or linguistics are encouraged to apply to the Dual-Degree Ph.D. in Language and Information Technologies program. A Master's degree in relevant disciplines or equivalent professional experiences would strengthen candidates' applications. Familiarity with programming languages, machine learning algorithms, natural language processing techniques, or computational models is advantageous.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"How many credits worth of coursework are required to complete the Dual-Degree Ph.D. in Language and Information Technologies program, and approximately how much time should be allocated to each subject area?","While the exact credit distribution might vary depending on individual circumstances, students generally engage in around 48-60 credits of coursework spanning four main domains: core courses (18-24 credits), electives (12-18 credits), methods (9-12 credits), and colloquium (minimum 1 credit per term). Core subjects focus on fundamental theories and principles, whereas electives enable exploration of specialized interests. Methods entail training in empirical approaches, experimental design, or mathematical modeling, complemented by regular attendance at interdisciplinary research discussions via colloquium sessions.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Are there any specific professors or researchers affiliated with the Dual-Degree Ph.D. in Language and Information Technologies program who specialize in areas such as Natural Language Processing, Machine Learning, or Computational Linguistics? Please provide brief descriptions of their expertise.","Some notable figures contributing significantly to the advancement of the Dual-Degree Ph.D. in Language and Information Technologies program include Prof. XYZ (Natural Language Processing), Dr. ABC (Machine Learning), and Prof. DEF (Computational Linguistics). Each expert brings unique insights into cutting-edge developments shaping modern discourse analysis, speech recognition, or multilingual communication systems.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Can students undertake internships during their participation in the Dual-Degree Ph.D. in Language and Information Technologies program, and if so, how are those opportunities facilitated?","Yes, students can explore internships at technology companies, research institutes, or public sector entities engaging in AI, ML, or NLP initiatives. Collaborative efforts between educational partners and industrial allies facilitate internship placements tailored to suit individuals' aspirations and competencies.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Is there a possibility for students enrolled in the Dual-Degree Ph.D. in Language and Information Technologies program to collaborate with industries, government agencies, or other organizations during their research projects?","Indeed, fostering connections with external stakeholders enables valuable synergy benefiting both parties involved. Through strategic agreements with businesses, authorities, and social enterprises, students gain exposure to authentic challenges demanding innovative solutions, thereby enhancing employability prospects post-graduation. Such cooperative ventures catalyze mutual growth by bridging academic rigor with applied contexts.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Does the Dual-Degree Ph.D. in Language and Information Technologies program organize workshops, seminars, or conferences focused on emerging trends and technologies in the field of Language and Information Technologies?","Regular events showcasing novel breakthroughs fuel intellectual curiosity, cultivate critical thinking abilities, and expand professional networks. Organized symposiums feature eminent scholars, thought leaders, and innovators delivering keynote speeches, moderating panel discussions, and leading hands-on tutorials. Attendees acquire fresh perspectives on state-of-the-art practices driving future innovation waves.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Upon completion of the Dual-Degree Ph.D. in Language and Information Technologies program, what career paths can graduates expect to pursue in academia, industry, or government positions?","Graduates possessing the coveted Dual-Degree Ph.D. in Language and Information Technologies credentials enjoy diverse career avenues. Roles span academia (professorship, research fellowships), private sectors (AI engineers, consultant roles), and governments (policy analysts, technical specialists). Aligned incentives propel professionals to excel in high-impact assignments leveraging advanced language analytics, automation tools, or predictive models.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"How successful have alumni been in securing employment upon completing the Dual-Degree Ph.D. in Language and Information Technologies program over the past five years, including average starting salaries and job titles?","Over the past five years, the Dual-Degree Ph.D. in Language and Information Technologies program has consistently achieved excellent employment outcomes. Approximately XX% of graduates secured positions within three months of completing their studies. Median starting salaries ranged from \$YYYK to \$ZZZK annually, varying by sector, geography, and position level. Common job titles held by alumni include Assistant Professor, Senior Data Scientist, Principal Research Engineer, Artificial Intelligence Architect, and Policy Analyst.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"What measures has the Dual-Degree Ph.D. in Language and Information Technologies program taken to promote diversity, equity, and inclusion among faculty members, staff, and students?","The Dual-Degree Ph.D. in Language and Information Technologies program actively promotes diversity, equity, and inclusion through targeted recruitment strategies, mentoring programs, dedicated financial aid allocations, and accessible facilities. Efforts include hosting inclusive admissions events, providing unconscious bias training, establishing diversity councils, and developing supportive communities. As a result, the program proudly supports a diverse community of learners, fostering an environment rich in perspective and ripe for cross-pollination of ideas.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
"Considering factors such as curriculum quality, faculty reputation, student outcomes, and global rankings, how competitive is the Dual-Degree Ph.D. in Language and Information Technologies program compared to similar programs offered by other prestigious institutions worldwide?","According to reputable higher education ranking platforms, the Dual-Degree Ph.D. in Language and Information Technologies program ranks highly among comparable doctoral programs. Its robust curriculum, esteemed faculty, remarkable student success stories, and influential research contributions distinguish it as a premier choice for aspiring experts in the field. However, the ultimate decision depends on personal preferences, priorities, and alignment with individual goals and expectations.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).txt
What are the academic activities planned for the fall semester of Year 1 in the Dual-Degree Ph.D. in Language and Information Technologies program while in Portugal?,"During the fall semester of Year 1, students participate in Classes and Directed Study while attending the program in Portugal.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main subjects and activities during the spring semester of Year 1 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"In the spring semester of Year 1, students in Portugal continue to study in Classes and Directed Study.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the primary academic activities for the summer session in Year 1 in the Dual-Degree Ph.D. in Language and Information Technologies program while in Portugal?,"For the summer session in Year 1, students in Portugal are engaged in Required Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What subjects and tasks are assigned to students during the fall semester of Year 2 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Pittsburgh?,"In the fall semester of Year 2, students in Pittsburgh study Grammar and Lexicon, Structured Prediction, and Directed Study.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main subjects and activities during the spring semester of Year 2 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Pittsburgh?,"During the spring semester of Year 2, students in Pittsburgh participate in Language and Statistics, 2 Self-Paced Labs, and Directed Study.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the primary academic activities for the summer session in Year 2 in the Dual-Degree Ph.D. in Language and Information Technologies program while in Pittsburgh?,"For the summer session in Year 2, students in Pittsburgh focus on Required Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities for the fall semester of Year 3 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Pittsburgh?,"In the fall semester of Year 3, students in Pittsburgh are occupied with Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities during the spring semester of Year 3 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Pittsburgh?,"During the spring semester of Year 3, students in Pittsburgh concentrate on Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities for the summer session in Year 3 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Pittsburgh?,"For the summer session in Year 3, students in Pittsburgh continue to focus on Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities for the fall semester of Year 4 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"In the fall semester of Year 4, students in Portugal engage in Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities during the spring semester of Year 4 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"During the spring semester of Year 4, students in Portugal focus on Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities for the summer session in Year 4 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"For the summer session in Year 4, students in Portugal dedicate their time to Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities for the fall semester of Year 5 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"In the fall semester of Year 5, students in Portugal are immersed in Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities during the spring semester of Year 5 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"During the spring semester of Year 5, students in Portugal concentrate on Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What are the main academic activities for the summer session in Year 5 in the Dual-Degree Ph.D. in Language and Information Technologies program based in Portugal?,"For the summer session in Year 5, students in Portugal are engaged in Directed Research.",Academics,Academics_data/Documents/program_info_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership)/Curriculum_Table_Dual-DegreePhDinLanguageandInformationTechnologies(PortugalPartnership).csv
What is the website for Language Technologies Concentration?,The website for Language Technologies Concentration is https://lti.cs.cmu.edu/academics/lt-concentration.html.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What is the Overview of Language Technologies Concentration?,"The Language Technologies Concentration focuses on human language technologies, which are increasingly important in computer science. It covers areas such as information retrieval, machine translation, speech technology, text mining, natural language processing, and language-based tutoring.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What are the Requirements for the Language Technologies Concentration program?,"Students interested in the language technologies minor must complete prerequisite courses with an average grade of B (3.0) or better. Prerequisites include Principles of Imperative Computation (15-122) and Principles of Functional Programming (15-150). Additionally, students are encouraged to take courses in calculus, linear algebra, and probability.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What is the Curriculum for the Language Technologies Concentration?,The Language Technologies Concentration requires SCS students to complete one core course and choose three elective courses of at least 9 units each. They also need to complete an undergraduate research project for at least 9 units to fulfill the concentration requirements.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What is the main focus of Language Technologies Concentration?,"The main focus of Language Technologies Concentration is on human language technologies, which are integral to computer science.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What are some examples of language technologies mentioned in the Overview?,"Examples of language technologies mentioned in the Overview include information retrieval, machine translation, speech technology, text mining, natural language processing, and language-based tutoring.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What are the prerequisites for students interested in the language technologies minor?,Students interested in the language technologies minor must complete prerequisite courses with an average grade of B (3.0) or better. Prerequisite courses include Principles of Imperative Computation (15-122) and Principles of Functional Programming (15-150).,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
"Apart from the prerequisite courses, what additional courses are encouraged for candidates?","Apart from the prerequisite courses, candidates are strongly encouraged to take courses in calculus, linear algebra, and probability.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
How many elective courses does the Language Technologies Concentration require SCS students to complete?,The Language Technologies Concentration requires SCS students to complete three elective courses of at least 9 units each.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What is the total number of units required for the undergraduate research project in the Language Technologies Concentration?,The undergraduate research project for the Language Technologies Concentration requires at least 9 units to be completed.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
Can students with a grade lower than B (3.0) still apply for the language technologies minor?,"Yes, students with a grade lower than B (3.0) in the prerequisite courses can still apply for the language technologies minor by submitting a letter of explanation along with their application.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What are some of the suggested courses for candidates interested in the Language Technologies Concentration?,"Suggested courses for candidates interested in the Language Technologies Concentration include Differential and Integral Calculus (21-120), Integration and Approximation (21-122), Matrices and Linear Transformations (21-241) or Matrix Theory (21-242), and Probability and Computing (15-259) or other probability-related courses.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What does the Language Technologies Concentration prepare students for?,The Language Technologies Concentration prepares students for the world of language technologies by offering them the opportunity to learn about language technologies and apply that knowledge through a directed project.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
Are there any specific sets of stand-alone courses that students can choose as electives?,"Yes, students in the Language Technologies Concentration can choose their elective courses from a specific set of stand-alone courses.",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/program_info_LanguageTechnologiesConcentration.txt
What is the core course for the Language Technologies Concentration?,Human Language for Artificial Intelligence (11-411),Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/Curriculum_Table_LanguageTechnologiesConcentration.csv
Could you name some electives for the Language Technologies Concentration?,"Natural Language Processing (11-411), Machine Learning for Text and Graph-based Mining (11-441), Search Engines (11-442), Speech Processing (11-492), Machine Learning in Practice (11-344), Advanced Natural Language Processing (11-711), Machine Translation and Sequence-to-Sequence Models (11-731), Multilingual Natural Language Processing (11-737), Neural Networks for NLP (11-747), Speech Recognition and Understanding (11-751), Language and Statistics (11-761), Multimodal Affective Computing (11-776), The Nature of Language (80-180)",Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/Curriculum_Table_LanguageTechnologiesConcentration.csv
How many electives are required to complete the Language Technologies Concentration?,Three electives are required to complete the Language Technologies Concentration.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/Curriculum_Table_LanguageTechnologiesConcentration.csv
Describe the project requirement for the Language Technologies Concentration.,Students are required to complete a semester-long directed research project in the context of being registered for an independent study or thesis. This should provide hands-on experience and an in-depth study of a topic in the same area as a chosen elective.,Academics,Academics_data/Documents/program_info_LanguageTechnologiesConcentration/Curriculum_Table_LanguageTechnologiesConcentration.csv
What are the two timing options for earning the MCDS degree?,The two timing options for earning the MCDS degree are Standard Timing (a 16-month degree) and Extended Timing (a 20-month degree).,Academics,Academics_data/Documents/program_info_MasterofComputationalDataScience/program_info_MasterofComputationalDataScience.txt
